auction_id,deals_paired,fullfilled_proportion,total_volume,volume_paired,execution_time_seconds,CoW_total_volume,CoW_volume_proportion,CoW transaction paired,CoW_fee_estimate,Volume_fee_estimate,,,,,Mean,SD
9144986,4.815298864,0.002172803,30453151.81,66168.70256,51.70308042,4258.230767,0.000139829,2,31.94148182,6.616870256,,,,,,
9144987,5.542046707,0.002996957,29837384.59,89421.35812,51.12433767,11992.3522,0.000401924,1,0,8.942135812,,,,,,
9144990,1.413201663,0.001573456,30467330.9,47938.99602,44.51814651,21683.44054,0.000711695,2,12.23120961,4.793899602,,,,,,
9144991,9.103168564,0.006902382,24893742.69,171826.1244,29.92559981,83691.66654,0.003361956,2,55.46959008,17.18261244,,,,,,
9144992,7.430775879,0.006020683,29299026.97,176400.1591,32.49844599,17911.9255,0.000611349,1,15.64815488,17.64001591,,,,,,
9144993,6.055173268,0.003039411,30481472.25,92645.72866,32.36896563,24704.676,0.000810482,3,52.09748626,9.264572866,,,,,,
9144994,4.186862175,0.002892054,29642806.3,85728.59243,48.68487167,10035.25121,0.000338539,3,44.74424124,8.572859243,,,,,,
9144997,7.540903132,0.005291036,28148476.88,148934.6053,45.18609309,7698.88,0.00027351,2,24.20571767,14.89346053,,,,,,
9144998,5.665228905,0.003784493,30517995.27,115495.1391,49.77209663,20892.71533,0.000684603,3,48.44781862,11.54951391,,,,,,
9144999,3.313356225,0.001906679,30336868.77,57842.6815,47.31138158,5079.359139,0.000167432,1,12.57990309,5.78426815,,,,,,
