time,tx_hash,sell_token,buy_token,units_sold,units_bought,buy_price,sell_price,buy_value_usd,sell_value_usd,fee,limit_sell_amount,limit_buy_amount,partial_fill,fill_proportion,surplus_usd
2024-03-01 00:31:35.000 UTC,0xd8a6cdb8c8d5afbe5a881278d6c5a6f1647d702a8282a3b4f0ba9e9ac41363df,ETH,PUTIN,0.75,201347.946868095,,3370.27,,2527.7025,0.0,750000000000000000,198628601460744,False,1,34.138397194721165
2024-03-01 00:31:35.000 UTC,0xd8a6cdb8c8d5afbe5a881278d6c5a6f1647d702a8282a3b4f0ba9e9ac41363df,ETH,OLAS,4.0,2478.0990583846224,5.41,3370.27,13406.515905860808,13481.08,0.0,4000000000000000000,2442320641473597185296,False,1,194.6377805273427
2024-03-01 00:32:11.000 UTC,0xc4b6c6c9af82d2428c48ffe70a732144cc6e2b1c8e369c874833be6e27ebfa4e,PORTAL,ETH,384.95277098637894,0.27108538855396286,3370.27,,913.6309524817644,,0.0,384952770986378940924,261488975522932669,False,1,32.3425029460901
2024-03-01 00:32:35.000 UTC,0xa4517ebb1e3f829f04e3ec828a902e2868e7f97e5ba076df978701d6143fe55c,WETH,ALEPH,4.876856864907833,49999.99999999999,0.326677,3370.27,16333.849999999997,16436.324386092925,0.0,4901425546150115557,50000000000000000000000,False,1,82.38803401876659
2024-03-01 00:35:11.000 UTC,0x19f0a399fea03990afc9df62cef3f117794e75d3e88cd7cc7c12e041c146ab43,ETH,WPLS,0.5644141820591099,12100021.058365084,,3371.79,,1903.086094925086,0.0,564414182059109920,11935901676155025207947630,False,1,25.812625671071515
2024-03-01 00:35:35.000 UTC,0x2bf7035902e5fd23858e43b060e01530309728c97fe6f5d0fd993ca489203e82,USDC,STG,20360.0,30006.220876278232,0.681429,1.000327,20447.109085501397,20366.65772,0.0,20360000000,29915726480948019868153,False,1,61.66550531547244
2024-03-01 00:35:59.000 UTC,0xd61a4c2837d04b9985f964b6510c94bebaf0586acc9b5aeb8aa6ea26cf992d2e,ETH,SD,0.045,115.48303518383368,1.038841,3371.79,119.96851175340895,151.73055,0.0,45000000000000000,107252166657083731594,False,1,10.814352138852408
2024-03-01 00:37:23.000 UTC,0xb05ce2d0ad1afccd232a819566de9ca2e1050a597b17ff9e6cb0a3d887de5874,WETH,PORTAL,2.0,2694.155080570976,,3371.79,,6743.58,0.0,2000000000000000000,2676528210171939625696,False,1,44.12077520806315
2024-03-01 00:37:59.000 UTC,0xe136ae9cce0d4f3d141acd3ba6ddee7b5e3a58e8197902776091e779c72f430b,PRIME,USDC,357.14285714285717,5277.127423,1.000327,14.91,5278.853043667321,5325.0,0.0,357142857142857142857,5172476801,False,1,105.59998224056525
2024-03-01 00:39:59.000 UTC,0x13ea0e3020a0289b60d1c769df8568d151c8c22460a229221e12408f4fab4725,DOG,ETH,1725518.9999999998,2.6118996633458647,3371.79,0.005154,8806.777165872953,8893.324925999998,0.0,1725519000000000000000000,2596931559219771192,False,1,50.96528606655164
2024-03-01 00:39:59.000 UTC,0x13ea0e3020a0289b60d1c769df8568d151c8c22460a229221e12408f4fab4725,PEAS,WETH,423.78579108561013,0.57,3371.79,4.59,1921.9202999999998,1945.1767810829504,0.0,425956271458422933257,570000000000000000,False,1,9.911740495183333
